sampleID,labID,analysisDate,fractionAnalyzed,type,value,unit,aggregation,qualityFlag,accessToPublic,accessToAllOrg,accessToSelf,accessToPHAC,accessToLocalHA,accessToProvHA,accessToOtherProv,accessToDetails
NA,Ottawa-1,2020-06-17,solid,nPPMoV,27.85,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-19,solid,covN1,2.07E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-19,solid,covN1,7.05E-06,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-19,solid,covN2,1.99E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-19,solid,covN2,4.61E-06,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-19,solid,nPPMoV,27.58,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-21,solid,covN1,5.93E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-21,solid,covN1,3.71E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-21,solid,covN2,1.56E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-21,solid,covN2,1.39E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-21,solid,nPPMoV,27.08,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-23,solid,covN1,0.000286312,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-23,solid,covN1,0.000181653,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-23,solid,covN2,4.03E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-23,solid,covN2,2.06E-06,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-23,solid,nPPMoV,28.28,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-26,solid,covN1,6.18E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-26,solid,covN1,1.79E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-26,solid,covN2,4.00E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-26,solid,nPPMoV,28.28,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-30,solid,covN1,5.51E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-30,solid,covN2,4.61E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-30,solid,nPPMoV,28.57,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-07,solid,covN1,4.39E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-07,solid,covN1,1.87E-07,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-07,solid,covN2,0,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-07,solid,nPPMoV,26.02,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-09,solid,covN1,9.57E-06,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-09,solid,covN1,2.97E-06,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-09,solid,covN2,0,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-09,solid,nPPMoV,24.58,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-12,solid,covN1,5.89E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-12,solid,covN1,1.56E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-12,solid,covN2,6.44E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-12,solid,covN2,2.08E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-12,solid,nPPMoV,26.77,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-13,solid,covN1,1.46E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-13,solid,covN1,2.97E-06,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-13,solid,covN2,0,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-13,solid,nPPMoV,25.74,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-15,solid,covN1,8.13E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-15,solid,covN1,3.31E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-15,solid,covN2,6.10E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-15,solid,nPPMoV,26.17,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-17,solid,covN1,0.00026466,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-17,solid,covN1,9.46E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-17,solid,covN2,0.000298012,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-17,solid,covN2,0.000105776,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-17,solid,nPPMoV,28.17,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-19,solid,covN1,0.000264111,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-19,solid,covN1,9.00E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-19,solid,covN2,0.000354279,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-19,solid,covN2,3.99E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-19,solid,nPPMoV,28.27,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-21,solid,covN1,8.56E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-21,solid,covN2,3.40E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-21,solid,covN2,1.21E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-21,solid,nPPMoV,26.74,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-23,solid,covN1,0.000140538,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-23,solid,covN1,4.26E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-23,solid,covN2,0.000220699,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-23,solid,covN2,5.64E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-23,solid,nPPMoV,27.43,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-25,solid,covN1,0.000237048,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-25,solid,covN1,3.23E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-25,solid,covN2,9.30E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
